medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
DCCCCA12940B129ED5213513A34ABEC6,B360CE7213978C205937BF5236C841CA,CMT,1,N,2013-10-09 13:21,2013-10-09 13:28,1,417,1.3,-73.976021,40.788029,-73.95652,40.779205
558449972FE9624453BA659DA5A5A257,4AA31F240197F39862FFD31AFB4C55C9,CMT,1,N,2013-10-12 20:19,2013-10-12 20:24,1,248,0.7,-73.987022,40.733299,-73.979698,40.743366
0739918F155E4B3A6F8A86D088A03894,0D323E2D64D564E01965AC6780549C75,CMT,1,N,2013-10-09 12:39,2013-10-09 13:15,1,2168,3,-73.976906,40.790173,-73.979286,40.757053
DCCCCA12940B129ED5213513A34ABEC6,B360CE7213978C205937BF5236C841CA,CMT,1,N,2013-10-09 7:16,2013-10-09 7:26,1,645,3,-73.950165,40.780151,-73.979782,40.746136
03F679CA22ADDFA4860EB8840780F6AE,7484286F9E9B93B0875E5A662A46D589,CMT,1,N,2013-10-13 14:46,2013-10-13 14:54,1,481,1.4,-74.007919,40.726002,-73.993996,40.734535
AF7386DF75DCB4EFFF15740F3F5A5722,25AC95644217526DEA8DFB4D5CF873AA,CMT,1,N,2013-10-09 0:48,2013-10-09 0:54,1,367,1.6,-74.004036,40.722218,-73.99855,40.742043
0509E1F73EE41E40373D460E8CD13D8E,6DAC910F4ADDA8424ADACF55F5E7A85D,CMT,1,N,2013-10-08 17:37,2013-10-08 17:47,1,602,1.6,-74.006989,40.74258,-73.993637,40.730392
B976C2299905CE417E1B19AD6C903DD6,E3F771F4D3D392B59DD15835DAB010ED,CMT,1,N,2013-10-13 21:10,2013-10-13 21:32,3,1318,5.1,-73.946022,40.821384,-73.946022,40.821384
AC7A85219867AB060609BA214C124969,EBB1EF221B5CE8E5B4B5D8B54122C92A,CMT,1,N,2013-10-13 22:08,2013-10-13 22:27,2,1123,10,-73.870697,40.773613,-73.994354,40.697903
A0DFBA30FA80922CBEBCFF97AFE50AAB,920C1976BE65D7F87783A0C5EB7C2707,CMT,1,N,2013-10-13 23:28,2013-10-13 23:34,1,349,1.6,-73.990082,40.767174,-73.973473,40.755905
31A7FA924AD69A1F87830F134A27996D,EF44A38B49FE3424B355E127AE617615,CMT,1,N,2013-10-08 17:13,2013-10-08 17:27,1,830,5.5,-73.948097,40.829769,-73.987144,40.771229
